Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
4/24/2017,413,458,14.85,162,189,37.04,575
2/19/2017,154,165,9.7,52,60,31.67,206
5/3/2017,404,466,11.37,189,233,39.48,593
9/4/2017,164,178,14.04,105,128,34.38,269
10/25/2017,440,489,13.7,261,289,30.8,701
9/18/2017,396,464,18.32,236,290,28.62,632
12/27/2017,298,346,17.05,127,143,24.48,425
7/24/2017,378,442,14.48,200,221,40.72,578
10/30/2017,477,545,16.88,228,256,33.98,705
12/31/2017,96,109,11.93,60,67,31.34,156
2/4/2015,212,258,50.78,,,,
8/15/2016,303,338,0.3,121,153,37.91,424
9/25/2016,141,149,0,59,71,43.66,200
4/11/2017,381,442,15.16,158,185,40,539
12/8/2015,288,349,5.44,,,,
4/20/2015,504,598,7.69,,,,
12/31/2015,151,172,1.74,,,,
5/26/2014,50,55,41.82,,,,
1/3/2018,428,493,16.43,219,240,26.25,647
11/28/2017,458,514,16.54,329,379,29.02,787
7/25/2016,318,371,0,151,167,45.51,469
6/30/2014,193,251,46.22,,,,
11/4/2017,167,186,18.82,74,88,34.09,241
12/24/2017,83,88,15.91,44,51,31.37,127
8/9/2016,307,339,0,140,175,43.43,447
8/2/2017,356,402,18.91,220,260,38.46,576
9/13/2017,451,505,14.65,237,276,37.32,688
7/12/2017,381,450,15.11,206,237,37.55,587
5/13/2017,125,142,18.31,34,45,26.67,159
7/31/2017,371,419,16.47,165,196,25.51,536
8/28/2018,625,691,28.36,313,351,26.5,938
2/3/2016,334,384,5.21,449,550,41.45,783
2/15/2016,270,300,1.67,125,154,38.96,395
3/8/2017,388,449,14.7,152,182,42.31,540
12/14/2017,392,468,19.23,224,264,31.82,616
7/4/2017,107,122,13.11,73,79,40.51,180
3/5/2017,157,178,5.62,67,76,36.84,224
2/12/2018,619,712,21.49,353,410,24.39,972
11/15/2014,70,74,50,,,,
2/28/2015,20,23,69.57,,,,
4/24/2016,182,208,5.77,33,38,44.74,215
9/28/2017,425,483,12.01,203,236,33.05,628
6/7/2017,398,449,14.25,166,195,36.92,564
2/13/2017,393,444,8.78,134,149,45.64,527
11/1/2015,143,166,13.25,,,,
7/15/2018,249,277,29.6,142,157,15.29,391
6/18/2017,112,132,19.7,41,47,44.68,153
4/6/2017,398,457,16.19,161,184,45.11,559
8/3/2014,49,60,41.67,,,,
1/9/2017,401,454,7.71,112,126,50,513
7/23/2018,609,711,27.29,296,318,21.07,905
6/20/2015,69,83,6.02,,,,
7/19/2016,318,348,0,143,162,41.98,461
7/29/2017,121,137,14.6,53,55,23.64,174
8/13/2017,114,122,9.02,45,47,42.55,159
8/19/2016,221,260,0,100,117,46.15,321
3/24/2016,400,451,2.88,95,119,40.34,495
12/11/2017,421,493,16.02,232,262,31.3,653
11/17/2014,214,273,49.45,,,,
2/15/2015,102,113,63.72,,,,
11/23/2015,317,406,7.64,,,,
5/22/2017,386,467,11.13,147,179,35.2,533
1/17/2016,145,166,2.41,,,,
10/11/2017,446,507,14,259,298,36.91,705
7/2/2017,102,114,12.28,63,71,28.17,165
4/26/2017,444,518,11.78,181,205,39.02,625
11/5/2016,126,142,0,34,39,41.03,160
10/15/2016,117,131,0,35,36,52.78,152
7/24/2018,634,724,29.7,330,359,23.12,964
2/23/2017,414,461,10.63,158,184,38.04,572
7/28/2017,297,354,15.25,168,194,40.72,465
10/9/2017,368,421,15.91,251,286,25.17,619
1/16/2018,495,570,17.54,252,295,31.19,747
3/16/2016,347,399,3.01,161,206,41.26,508
9/9/2017,145,168,19.64,108,137,18.25,253
4/27/2017,398,460,15.87,195,222,39.64,593
2/18/2018,227,262,33.59,109,129,29.46,336
11/20/2014,208,255,47.45,,,,
3/13/2017,385,454,9.03,137,157,44.59,522
5/8/2017,410,485,12.99,156,191,41.36,566
8/21/2018,553,611,28.31,288,316,25.63,841
8/11/2016,341,375,0,152,183,41.53,493
10/18/2017,511,578,15.74,263,312,33.33,774
11/11/2016,212,242,0,60,72,47.22,272
11/12/2014,156,188,40.96,,,,
7/6/2015,427,476,7.35,,,,
12/7/2016,362,433,0.46,157,185,45.95,519
2/8/2018,569,664,20.78,310,348,28.74,879
9/24/2014,163,207,46.86,,,,
11/27/2015,148,170,9.41,,,,
1/29/2017,135,144,8.33,32,34,44.12,167
8/17/2016,299,327,0,144,174,41.95,443
8/13/2018,560,625,24.64,277,316,27.53,837
10/16/2017,434,493,17.44,247,287,29.27,681
12/25/2017,90,102,20.59,47,52,36.54,137
6/17/2017,94,103,28.16,37,45,17.78,131
4/4/2017,437,510,10,166,186,38.71,603
5/9/2015,128,155,21.94,,,,
1/9/2018,439,491,18.74,270,309,28.16,709
9/11/2017,403,469,16.2,244,280,35.71,647
10/12/2017,439,514,13.81,231,258,31.78,670
5/7/2017,149,184,17.39,71,80,37.5,220
8/27/2014,203,248,51.21,,,,
8/25/2016,300,331,0,151,199,38.69,451
11/14/2015,127,149,5.37,,,,
5/31/2015,119,129,14.73,,,,
